AnioInicial,MesInicial,DiaInicial,rangoEntrenamiento,rangoTest,errPol,errSenCos,errSenoides
1998,1,1,7,1,0.10701336671489899,0.43458841923301683,0.9000856115127154
1998,1,1,7,5,2.250998532938535,0.8057603444510499,1.1298810327220488
1998,1,1,7,10,5.617586433937543,0.49609367845538604,0.7271580263466886
1998,1,1,10,1,0.2504880546876347,0.383570507974098,0.38255074553038887
1998,1,1,10,5,0.5033496335016221,0.41611066170917227,0.4231902492989758
1998,1,1,10,10,0.4892140023534537,0.4247158328339832,0.4255368317996769
1998,1,1,20,1,0.4056530975206332,0.20310030454673034,0.06589401199984056
1998,1,1,20,5,0.9324831050183578,0.2519559369951073,0.381674623039181
1998,1,1,20,10,1.9656718538497937,0.3598091910355969,0.3538117808360998
1998,1,1,40,1,0.1085218314748214,0.18455354570805932,0.3356132855274677
1998,1,1,40,5,0.4054615003646167,0.12857375488584294,0.1541844733576789
1998,1,1,40,10,0.48275172375075315,0.3108545877954145,0.3472139768722536
1998,5,31,7,1,0.14629356193331283,0.10252742414566292,0.2906739162489263
1998,5,31,7,5,1.0326389106528502,0.3588543692016997,0.46042142338163916
1998,5,31,7,10,4.272900416298041,0.7370798010048707,0.7234280566720914
1998,5,31,10,1,0.027014262057508513,0.39846290478193913,0.5024314590799794
1998,5,31,10,5,0.28998384626803486,0.5334813095079651,0.5589938509769531
1998,5,31,10,10,0.9030159526016049,0.6779813711848933,0.7748012110599792
1998,5,31,20,1,0.3099028493068153,0.27187413092425666,0.2929209881160781
1998,5,31,20,5,0.4669606675996179,0.2736958554098605,0.3379584444162553
1998,5,31,20,10,0.3628877869389896,0.23998453604022588,0.3156710630745091
1998,5,31,40,1,0.3256704103479155,0.4762801714509254,0.4435434094267064
1998,5,31,40,5,0.2364252870281336,0.49994455854403375,0.5154704669959196
1998,5,31,40,10,0.336738837852731,0.4222400183287009,0.43364742291679387
1998,10,28,7,1,0.18509827298393527,0.41529701274466796,0.5177197603393446
1998,10,28,7,5,3.2249418719830403,0.38125969874592736,0.5074647729841061
1998,10,28,7,10,12.190182061548253,0.41095707262634557,0.9274816476429482
1998,10,28,10,1,1.3653861276814312,0.7442997505600257,0.49983144717085354
1998,10,28,10,5,4.21147724021262,0.489602022460041,0.5221049881993362
1998,10,28,10,10,12.634248031258556,0.7222702611071297,0.6331680779272123
1998,10,28,20,1,0.031279599466950775,0.0017880554151452734,0.0306514151579665
1998,10,28,20,5,0.16478697519476143,0.134131249265312,0.15349204582671416
1998,10,28,20,10,0.5038755213500571,0.1539007805877428,0.20612746305211993
1998,10,28,40,1,0.42851377243618755,0.09397171030790769,0.0404128385984127
1998,10,28,40,5,0.6599637156126593,0.08176321633876665,0.10120473406032117
1998,10,28,40,10,1.1657754748876745,0.10847141521026141,0.10458603786228875
1999,3,27,7,1,0.7712693279417687,0.17677123378644902,0.5028716692610529
1999,3,27,7,5,6.9405597380994815,0.3187363149916165,0.3037183465559333
1999,3,27,7,10,28.845102796153483,0.27945761158468413,0.2967090427711917
1999,3,27,10,1,0.3949075451799864,0.20717747965565866,0.3592295507147614
1999,3,27,10,5,1.2117563552033106,0.45393059736830066,0.4354184649625781
1999,3,27,10,10,3.849049571114519,0.5087828538063197,0.5463470938367498
1999,3,27,20,1,0.07141365509429004,0.3231584406988828,0.33977958457798774
1999,3,27,20,5,0.7363274589596557,0.2516153350652728,0.27143382473914013
1999,3,27,20,10,1.4202996365938279,0.26526735520244205,0.3184069507927268
1999,3,27,40,1,0.31729313966750183,0.2344914343692592,0.22796600088160693
1999,3,27,40,5,0.337954540899734,0.21133743010275055,0.2117490233931753
1999,3,27,40,10,0.39506525382459845,0.18276741622318488,0.1813243936578515
1999,8,24,7,1,0.21084235530122156,0.07301367104708274,0.621625881624701
1999,8,24,7,5,0.8157707737487027,0.7832844014719932,0.7705050753765335
1999,8,24,7,10,1.7109665160763003,0.6833041790660903,0.6149564660220527
1999,8,24,10,1,0.304404272819717,0.8805247429696604,1.2923212716876789
1999,8,24,10,5,4.3184999917981095,0.6671064318894077,0.8851389759703687
1999,8,24,10,10,12.422186889025392,0.4884326874389886,0.6956445455064476
1999,8,24,20,1,0.10683258411051598,0.25979035123832284,0.15781994910115352
1999,8,24,20,5,0.9743658083010878,0.3377494145056611,0.262519097045427
1999,8,24,20,10,1.6406309508593817,0.2750055853373455,0.19343907412985853
1999,8,24,40,1,0.2163734299060524,0.16596531079835722,0.12078958753005146
1999,8,24,40,5,0.24425546431765724,0.3773498328545706,0.34985175803005936
1999,8,24,40,10,0.2672965623235437,0.2785222782245005,0.2781618962394993
2001,4,15,7,1,0.43645102877906017,0.6980719611305025,1.045458405857116
2001,4,15,7,5,1.0103271461120404,0.3619073855689397,0.5301864758112945
2001,4,15,7,10,1.6528286420341678,0.3612857155491523,0.36945029298239734
2001,4,15,10,1,0.3885961380076555,0.3486430410012248,0.6592555599764665
2001,4,15,10,5,0.2460392515982612,0.6023646613870738,0.6099765180026409
