fecha, vuelos_totales, atrasos_totales_arribo, tiempo_atrasado_porcentaje_arribo, atrasos_totales_salida, tiempo_atrasado_porcentaje_salida, vuelos_cancelados,vuelos_cancelados_porcentaje,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
5/8/1998,15363,4329,0.281781,3488,0.227039,350,0.022782,0,0,0,0,0
6/7/1998,15307,2637,0.172274,2192,0.143202,284,0.0185536,0,0,0,0,0
7/6/1998,14403,2360,0.163855,1996,0.138582,136,0.00944248,0,0,0,0,0
8/5/1998,15041,5465,0.36334,4346,0.288944,410,0.0272588,0,0,0,0,0
9/4/1998,15139,5596,0.369641,4317,0.285158,268,0.0177026,0,0,0,0,0
3/9/1998,15394,3728,0.242172,3376,0.219306,1746,0.113421,0,0,0,0,0
4/8/1998,15352,4839,0.315203,4093,0.26661,635,0.0413627,0,0,0,0,0
5/7/1998,14493,1732,0.119506,1682,0.116056,186,0.0128338,0,0,0,0,0
6/6/1998,13494,1846,0.136802,1598,0.118423,209,0.0154884,0,0,0,0,0
7/5/1998,15013,6020,0.400986,4807,0.320189,516,0.0343702,0,0,0,0,0
8/4/1998,15122,4204,0.278006,2902,0.191906,255,0.0168628,0,0,0,0,0
9/3/1998,15184,6292,0.414384,5320,0.350369,1850,0.121839,0,0,0,0,0
2/9/1998,15374,3811,0.247886,3233,0.21029,1829,0.118967,0,0,0,0,0
3/8/1998,15372,2514,0.163544,2058,0.13388,350,0.0227687,0,0,0,0,0
4/7/1998,12583,1325,0.105301,1176,0.0934594,266,0.0211396,0,0,0,0,0
5/6/1998,15126,4731,0.312773,3810,0.251884,280,0.0185112,0,0,0,0,0
6/5/1998,15005,5168,0.344419,3865,0.257581,601,0.0400533,0,0,0,0,0
7/4/1998,15120,2078,0.137434,1483,0.098082,267,0.0176587,0,0,0,0,0
8/3/1998,14367,5529,0.38484,4499,0.313148,496,0.0345236,0,0,0,0,0
9/2/1998,15088,3115,0.206455,2489,0.164966,477,0.0316145,0,0,0,0,0
1/9/1998,15381,3304,0.21481,2964,0.192705,1788,0.116247,0,0,0,0,0
2/8/1998,14682,2174,0.148072,2131,0.145144,295,0.0200926,0,0,0,0,0
3/7/1998,13585,2148,0.158116,1773,0.130512,225,0.0165624,0,0,0,0,0
4/6/1998,15097,5326,0.352785,4016,0.266013,404,0.0267603,0,0,0,0,0
5/5/1998,15032,3447,0.229311,2419,0.160923,472,0.0313997,0,0,0,0,0
6/4/1998,15121,1932,0.127769,1409,0.0931817,168,0.0111104,0,0,0,0,0
7/3/1998,13435,4090,0.304429,3270,0.243394,305,0.0227019,0,0,0,0,0
8/2/1998,14219,2697,0.189676,2194,0.154301,198,0.013925,0,0,0,0,0
9/1/1998,15106,3666,0.242685,2821,0.186747,425,0.0281345,0,0,0,0,0
1/8/1998,13840,2003,0.144725,2055,0.148483,210,0.0151734,0,0,0,0,0
2/7/1998,15279,3122,0.204333,2839,0.185811,295,0.0193075,0,0,0,0,0
3/6/1998,15081,2999,0.198859,2077,0.137723,344,0.0228102,0,0,0,0,0
4/5/1998,15018,2847,0.189573,2052,0.136636,290,0.0193102,0,0,0,0,0
5/4/1998,14265,1672,0.11721,1583,0.110971,99,0.00694006,0,0,0,0,0
6/3/1998,15214,3651,0.239976,2688,0.176679,157,0.0103194,0,0,0,0,0
