AnioInicial,rangoEntrenamiento,rangoTest,errPol,errSenCos,errSenoides
1998,3,1,2.2399708235907476,2.2850200125288658,1.5834996771987564
1998,3,4,3.409176877302559,2.3718286470180567,1.5789232678979848
1998,5,1,1.3913273566074225,0.7165385099894598,5.99468925833991
1998,5,4,7.501680987498826,1.272041622798415,7.509039033287692
2000,3,1,0.5826138618840576,4.6448792671363455,11.389726018831897
2000,3,4,1.8926475061720092,20.414574899625613,20.376574333904315
2000,5,1,1.2419259917613155,0.45316570777685583,2.035698707453026
2000,5,4,7.611447642235102,0.3937684605012399,2.6163254337098483
