AnioInicial,rangoEntrenamiento,rangoTest,errPol,errSenCos,errSenoides
1998,3,1,2.2399708235907476,2.2850200125288658,517968092912839.75
1998,3,4,3.409176877302559,2.3718286470180567,369268926363236.1
1998,5,1,1.3913273566074225,0.7165385099894598,475679056815287.75
1998,5,4,7.501680987498826,1.272041622798415,568123873813482.5
2000,3,1,0.5826138618840576,4.6448792671363455,49527935422402.06
2000,3,4,1.8926475061720092,20.414574899625613,59153334860994.11
2000,5,1,1.2419259917613155,0.45316570777685583,396958342193650.06
2000,5,4,7.611447642235102,0.3937684605012399,426972058817666.9
