Fecha,Vc

01/01,0.4228225124662702
01/05,0.2637923118437631
05/25,0.4855923515073643
05/30,0.29616986783761523
06/05,0.4170530192658091
07/03,0.37589028792749307
07/04,0.3650292136186684
07/15,0.35369658003892346
08/01,0.585563600603359
08/17,0.3470238865495405
09/05,0.24923259415296445
12/24,0.5406919707792879
12/25,0.3150633928188171
12/31,0.469739661314174
Control,0.4399493335769649
