AnioInicial,MesInicial,rangoEntrenamiento,rangoTest,errPol,errSenCos,errSenoides
1998,1,3,1,1.0521151403325721,1.0687080826973732,1.9750535907043805
1998,1,3,5,0.9361986098601545,0.39728955810769595,0.9409997449728875
1998,1,3,10,1.5032724590063233,0.31436835006732394,0.7316916792000889
1998,1,5,1,0.2082852208949317,0.49086168378913064,0.935933922204302
1998,1,5,5,5.841708813202138,0.5544357726293987,0.38094255055712745
1998,1,5,10,18.11916733139436,0.45726528111454623,0.4409981108615488
1998,1,10,1,0.3362088416272261,0.34165009890018677,0.3500369717498067
1998,1,10,5,2.3871167526286343,0.32926835781974423,0.3994851360319347
1998,1,10,10,6.995366785739987,0.3507326791041447,0.3926364014762844
1998,1,20,1,0.3840887909996196,0.16842468892265927,0.48016228931142674
1998,1,20,5,0.3847613509780614,0.17410594307733618,0.4947874630901907
1998,1,20,10,0.30769542535037686,0.218227967227345,0.40151114280082456
1999,9,3,1,1.547057747753306,10.70289096347823,60.18295192960073
1999,9,3,5,2.10518263238232,21.183939609925375,51.04093797193886
1999,9,3,10,2.8789112752400894,16.018493704591553,39.747184456390286
1999,9,5,1,1.27580001500224,0.7317764438505531,0.5086140296372353
1999,9,5,5,3.4711287484390483,0.4186141984434963,0.3361828765200966
1999,9,5,10,12.363563443281379,0.8164830135393778,0.3020288848645185
1999,9,10,1,0.4966349625203816,0.1525722940415945,0.08994772855102842
1999,9,10,5,2.3389806992539874,0.4402827207009062,0.37596735031073747
1999,9,10,10,4.947190506564615,0.5363766073536643,0.4194571535218494
1999,9,20,1,0.08207744104322615,0.45475888655701174,0.5134689261964783
1999,9,20,5,0.7845153870848102,0.41699865592386137,0.3423940311269499
1999,9,20,10,1.0426402658961915,0.5132329074070809,0.47030605570670275
2001,5,3,1,2.1392042575102588,9.008385860821553,0.47353171141155026
2001,5,3,5,4.468262707728456,12.567434462788587,0.368065813627676
2001,5,3,10,13.780395314543686,18.870638455097183,0.287496095141231
2001,5,5,1,2.7410855669010434,2.1074448209649055,8.735020992221544
2001,5,5,5,16.253664750258853,3.0182381422334768,23.144034958734444
2001,5,5,10,67.31619219828441,4.34264491084,40.66677727088033
2001,5,10,1,0.12468232280731306,0.07141021048787395,0.3014355927554482
2001,5,10,5,1.067109110058991,0.3778976022955568,0.31864634733138775
2001,5,10,10,4.405911013406238,0.37520275701774974,0.2845263737526993
2001,5,20,1,0.16668465025784052,0.02117701202193273,0.04294497812211458
2001,5,20,5,0.459115885697192,0.14377245812226302,0.1422277915689603
2001,5,20,10,1.0062931530788988,0.17308161752861748,0.1359954860551389
2003,1,3,1,1.5073684097163387,1.1849890523162199,0.8438937987403249
2003,1,3,5,13.539352736112368,2.305697979925366,0.8264974732827012
2003,1,3,10,36.62496473456359,2.892894457697459,1.1884767966941991
2003,1,5,1,1.6793073414543271,1.057931911623522,0.5141138876185811
2003,1,5,5,24.39787568639599,2.8278436486776988,0.5675455297229611
2003,1,5,10,99.67124413792938,3.405798543988295,0.611426294268398
2003,1,10,1,1.094505368336354,0.6361667158347666,0.5455888068537867
2003,1,10,5,3.402436316628128,0.5215190183663623,0.6687210590478521
2003,1,10,10,8.43802126461826,0.5561352627963055,0.5113989331126227
2003,1,20,1,0.47086152313983537,0.4072808023095126,0.6286447956137442
2003,1,20,5,0.400888621826778,0.2323208917196615,0.3581153801345928
2003,1,20,10,0.4816855701051448,0.25070123576565784,0.5113261602782521
