año, destino, vuelos_totales,tiempo_atrasado_promedio_arribo, atrasos_totales_arribo, CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
1998, GST, 105, 24, 43.04166, 1, 0, 0, 0, 0, 0
1998, GTF, 2420, 516, 33.27131, 117, 0, 0, 0, 0, 0
1998, GUC, 222, 44, 46.77272, , 0, 0, 0, 0, 0
1998, HDN, 641, 135, 37.34814, 12, 0, 0, 0, 0, 0
1998, HLN, 850, 129, 37.24806, 15, 0, 0, 0, 0, 0
1998, HNL, 11558, 3412, 60.81623, 172, 0, 0, 0, 0, 0
1998, HOU, 57146, 10681, 38.84580, 1431, 0, 0, 0, 0, 0
1998, HPN, 4668, 1341, 32.68680, 404, 0, 0, 0, 0, 0
1998, HRL, 4171, 832, 37.84735, 101, 0, 0, 0, 0, 0
1998, HSV, 5913, 1020, 40.18431, 154, 0, 0, 0, 0, 0
1998, IAD, 44002, 10143, 40.86995, 1296, 0, 0, 0, 0, 0
1998, IAH, 125117, 23065, 47.36006, 1594, 0, 0, 0, 0, 0
1998, ICT, 7474, 1625, 45.44492, 222, 0, 0, 0, 0, 0
1998, IDA, 817, 138, 34.58695, 32, 0, 0, 0, 0, 0
1998, ILM, 2119, 387, 35.78294, 62, 0, 0, 0, 0, 0
1998, IND, 33816, 7388, 44.68178, 812, 0, 0, 0, 0, 0
1998, ISP, 2296, 323, 36.37770, 28, 0, 0, 0, 0, 0
1998, ITH, 1325, 202, 33.64356, 17, 0, 0, 0, 0, 0
1998, JAC, 1599, 301, 40.09966, 36, 0, 0, 0, 0, 0
1998, JAN, 9080, 1403, 39.83250, 151, 0, 0, 0, 0, 0
1998, JAX, 22098, 4603, 45.29524, 300, 0, 0, 0, 0, 0
1998, JFK, 42732, 9681, 45.10184, 754, 0, 0, 0, 0, 0
1998, JNU, 4478, 1020, 44.61764, 64, 0, 0, 0, 0, 0
1998, KOA, 733, 219, 49.56164, 1, 0, 0, 0, 0, 0
1998, KTN, 2581, 674, 44.79673, 37, 0, 0, 0, 0, 0
1998, LAN, 2118, 719, 37.53963, 203, 0, 0, 0, 0, 0
1998, LAS, 119417, 28356, 46.36376, 1441, 0, 0, 0, 0, 0
1998, LAX, 184129, 46038, 42.69913, 5419, 0, 0, 0, 0, 0
1998, LBB, 6663, 1115, 37.42421, 119, 0, 0, 0, 0, 0
1998, LEX, 3936, 760, 41.01052, 86, 0, 0, 0, 0, 0
1998, LFT, 160, 41, 43.63414, 1, 0, 0, 0, 0, 0
1998, LGA, 94292, 23214, 42.91651, 3168, 0, 0, 0, 0, 0
1998, LGB, 3118, 782, 41.13554, 45, 0, 0, 0, 0, 0
1998, LIH, 205, 49, 41.69387, , 0, 0, 0, 0, 0
1998, LIT, 13298, 2778, 44.09467, 203, 0, 0, 0, 0, 0
1998, LNK, 2816, 625, 47.89120, 65, 0, 0, 0, 0, 0
1998, LNY, 1, 1, 0, 1, 0, 0, 0, 0, 0
1998, LSE, 631, 170, 35.82352, 57, 0, 0, 0, 0, 0
1998, LWB, 76, 10, 22.00000, 7, 0, 0, 0, 0, 0
1998, MAF, 6470, 1177, 41.81648, 96, 0, 0, 0, 0, 0
1998, MBS, 3927, 1034, 36.91102, 219, 0, 0, 0, 0, 0
1998, MCI, 58489, 12294, 44.77688, 1005, 0, 0, 0, 0, 0
1998, MCO, 92021, 17085, 48.16453, 1113, 0, 0, 0, 0, 0
