Unnamed: 0,Anio, otp
0,1998,19.91511723635
1,1999,20.88997345095
2,2000,24.3351409904
3,2001,20.34989560605
4,2002,15.4465954605
5,2003,15.4162415582
6,2004,19.2168482888
7,2005,20.196206311050002
8,2006,22.134188808
9,2007,24.029053234050004
10,2008,21.63801505565
