Anio, Mes, otp
1998,1,21.593757535949997
1998,2,20.8783476087
1998,3,20.9442835918
1998,4,17.79816285775
1998,5,19.45156056295
1998,6,26.025755610650002
1998,7,18.8273226809
1998,8,20.305638427999998
1998,9,19.1362488483
1998,10,15.69568122565
1998,11,14.38407158305
1998,12,23.8734868677
1999,1,29.217256409
1999,2,18.6146968467
1999,3,19.3626184139
1999,4,20.636678354249998
1999,5,20.4454457704
1999,6,25.191816134499998
1999,7,25.4662512367
1999,8,20.8974473933
1999,9,17.89577860775
1999,10,17.3239681033
1999,11,16.334322453
1999,12,19.19898966685
2000,1,23.101554379899998
2000,2,22.2628172392
2000,3,20.1999610721
2000,4,21.485527659250003
2000,5,22.8088217177
2000,6,30.204733602199997
2000,7,26.694659268200002
2000,8,26.719390434
2000,9,19.10722807535
2000,10,20.94054483585
2000,11,23.90085842515
2000,12,34.20010477345
2001,1,21.984092538800002
2001,2,24.09935457405
2001,3,22.2934031733
2001,4,18.3424512872
2001,5,16.22325168885
2001,6,22.15212502165
2001,7,19.55723943245
2001,8,21.1216659839
2001,9,31.37326828315
2001,10,14.14794184715
2001,11,13.4301342163
2001,12,17.62769587945
2002,1,16.166325950650002
2002,2,13.0195101806
2002,3,18.54359047635
2002,4,14.7888465129
2002,5,14.6633899646
2002,6,18.87982816345
2002,7,18.04432387615
2002,8,15.281919770999998
2002,9,10.42056205175
2002,10,13.2884748875
2002,11,12.39374108485
2002,12,19.26134035705
2003,1,14.30795368305
2003,2,20.39879569615
2003,3,14.9142206378
2003,4,11.325272186949999
2003,5,12.639429579849999
2003,6,14.9984342847
2003,7,17.5604402687
2003,8,18.05509673525
2003,9,12.118496003499999
2003,10,11.3725401452
2003,11,16.5431271312
2003,12,20.77210415935
2004,1,21.75998780795
2004,2,19.2608092786
2004,3,16.09437457185
2004,4,14.52210233805
2004,5,19.424113098150002
2004,6,23.74123629395
2004,7,21.43394456875
2004,8,19.2221400177
2004,9,14.42136295665
2004,10,16.313108877
2004,11,18.3828535263
2004,12,25.839375275050003
2005,1,25.6341146096
2005,2,19.68076327815
2005,3,20.60020403535
2005,4,14.48404688375
2005,5,14.41301427125
2005,6,22.3663194872
2005,7,26.53476887895
2005,8,22.437565778649997
2005,9,15.3286095153
2005,10,16.76058524205
2005,11,17.5480183277
2005,12,26.0705555934
2006,1,19.1656617127
2006,2,22.0312773531
2006,3,21.55896149645
2006,4,19.332503062249998
2006,5,19.56747092065
2006,6,24.816442843649998
2006,7,24.27033500525
2006,8,22.01478531395
2006,9,20.88626638425
2006,10,23.733975459299998
2006,11,20.8686670181
2006,12,27.0158476614
2007,1,24.12466073215
2007,2,29.8076923077
2007,3,24.52914461465
2007,4,21.83745818745
2007,5,19.4528577015
2007,6,29.2425470379
2007,7,27.63098248425
2007,8,25.93547320515
2007,9,16.2780933276
2007,10,19.248180929300002
2007,11,17.949463685799998
2007,12,32.28560635295
2008,1,24.9503520342
2008,2,28.398063369149998
2008,3,25.8859095262
2008,4,19.85860838685
2008,5,18.5016155555
2008,6,26.26132601675
2008,7,22.43638234135
2008,8,19.87092485615
2008,9,13.58290134365
2008,10,12.317490853199999
2008,11,14.7307709948
2008,12,31.5771123646
