año, destino, vuelos_totales,tiempo_atrasado_promedio_salida, atrasos_totales_salida, CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay  
1998, GTF, 2421, 381, 164.71916, 153, 0, 0, 0, 0, 0
1998, GUC, 222, 33, 110.39393, , 0, 0, 0, 0, 0
1998, HDN, 642, 98, 53.05102, 10, 0, 0, 0, 0, 0
1998, HLN, 849, 74, 38.13513, 17, 0, 0, 0, 0, 0
1998, HNL, 11568, 1441, 61.77862, 191, 0, 0, 0, 0, 0
1998, HOU, 57122, 12193, 39.28352, 1397, 0, 0, 0, 0, 0
1998, HPN, 4668, 915, 30.11693, 449, 0, 0, 0, 0, 0
1998, HRL, 4170, 697, 38.20516, 77, 0, 0, 0, 0, 0
1998, HSV, 5915, 610, 92.54754, 154, 0, 0, 0, 0, 0
1998, IAD, 43998, 7738, 49.86740, 1346, 0, 0, 0, 0, 0
1998, IAH, 125122, 18765, 51.82478, 1481, 0, 0, 0, 0, 0
1998, ICT, 7477, 967, 54.03516, 238, 0, 0, 0, 0, 0
1998, IDA, 817, 76, 37.36842, 34, 0, 0, 0, 0, 0
1998, ILM, 2119, 194, 29.77835, 64, 0, 0, 0, 0, 0
1998, IND, 33810, 5342, 48.38562, 868, 0, 0, 0, 0, 0
1998, ISP, 2295, 207, 52.44444, 35, 0, 0, 0, 0, 0
1998, ITH, 1325, 104, 31.93269, 29, 0, 0, 0, 0, 0
1998, JAC, 1605, 258, 50.03875, 41, 0, 0, 0, 0, 0
1998, JAN, 9078, 1073, 46.01863, 173, 0, 0, 0, 0, 0
1998, JAX, 22099, 2786, 55.00035, 293, 0, 0, 0, 0, 0
1998, JFK, 42634, 6623, 53.45085, 769, 0, 0, 0, 0, 0
1998, JNU, 4479, 931, 52.03544, 87, 0, 0, 0, 0, 0
1998, KOA, 732, 99, 98.15151, 3, 0, 0, 0, 0, 0
1998, KTN, 2581, 446, 54.33183, 52, 0, 0, 0, 0, 0
1998, LAN, 2118, 437, 32.91304, 205, 0, 0, 0, 0, 0
1998, LAS, 119377, 26028, 47.95839, 1390, 0, 0, 0, 0, 0
1998, LAX, 184078, 35860, 43.67543, 5326, 0, 0, 0, 0, 0
1998, LBB, 6663, 861, 37.97909, 119, 0, 0, 0, 0, 0
1998, LEX, 3936, 507, 73.35305, 89, 0, 0, 0, 0, 0
1998, LFT, 160, 13, 53.76923, 2, 0, 0, 0, 0, 0
1998, LGA, 94404, 16010, 44.30493, 3379, 0, 0, 0, 0, 0
1998, LGB, 3118, 396, 50.55050, 48, 0, 0, 0, 0, 0
1998, LIH, 205, 23, 70.86956, 2, 0, 0, 0, 0, 0
1998, LIT, 13297, 1911, 45.00418, 217, 0, 0, 0, 0, 0
1998, LNK, 2817, 339, 52.85545, 70, 0, 0, 0, 0, 0
1998, LSE, 631, 85, 22.10588, 59, 0, 0, 0, 0, 0
1998, LWB, 76, 14, 15.35714, 10, 0, 0, 0, 0, 0
1998, MAF, 6470, 856, 41.70560, 99, 0, 0, 0, 0, 0
1998, MBS, 3929, 604, 36.83609, 221, 0, 0, 0, 0, 0
1998, MCI, 58474, 8846, 46.08003, 1039, 0, 0, 0, 0, 0
1998, MCO, 92028, 11554, 52.11770, 1171, 0, 0, 0, 0, 0
1998, MDT, 7711, 910, 48.42747, 211, 0, 0, 0, 0, 0
1998, MDW, 45993, 9367, 44.02861, 1025, 0, 0, 0, 0, 0
1998, MEM, 51371, 10753, 40.09448, 3301, 0, 0, 0, 0, 0
1998, MFE, 3169, 307, 62.03583, 25, 0, 0, 0, 0, 0
1998, MFR, 1359, 443, 69.72460, 22, 0, 0, 0, 0, 0
1998, MGM, 1906, 282, 42.26950, 64, 0, 0, 0, 0, 0
